strain	state	county
1000-X70047	WA	Pierce
10028-F21970	WA	King
10029-F21926	WA	King
10031-F21931	WA	King
10036-F21965	WA	King
10039-F21925	WA	King
10040-F21927	WA	King
10042-F22003	WA	King
1005-X69709	WA	King
10088-F21994	WA	King
10089-F22005	WA	King
10090-F21907	WA	King
10091-F22002	WA	King
10093-F21936	WA	King
10094-F22013	WA	King
10102-F22012	WA	King
10106-F21905	WA	King
10107-F21935	WA	King
10108-F21932	WA	King
1011-X69274	WA	King
10110-F21960	WA	King
10114-F21989	WA	King
10117-F22023	WA	King
10118-F22011	WA	King
10127-F21910	WA	King
10128-F21950	WA	King
10129-F21995	WA	King
1013-X70162	WA	Pierce
10130-F21982	WA	King
10131-F21991	WA	King
10136-S81294	WA	King
10138-F22026	WA	King
10158-T20271	WA	Pierce
10159-T21284	WA	King
10161-T29399	WA	King
10163-M10823	WA	Pierce
10174-M92775	WA	Chelan
1018-M58579	WA	King
10185-M94804	WA	King
10187-M89458	WA	King
10189-T19943	WA	Yakima
10190-X49561	WA	Pierce
10191-M86762	WA	King
10197-M93397	WA	King
10199-M83693	WA	King
1020-M62499	WA	King
10206-X49555	WA	Pierce
1021-M62392	WA	King
10212-X49570	WA	Pierce
10213-X49594	WA	Pierce
10216-X49563	WA	Pierce
10217-S85431	WA	Pierce
10230-S85415	WA	Pierce
10231-S85411	WA	Pierce
1024-X70064	WA	King
10247-M10889	WA	Pierce
1025-F78935	WA	King
10250-M10916	WA	Pierce
10272-W84658	WA	Pierce
10277-T31182	WA	Pierce
10283-W81216	WA	King
10284-W81292	WA	King
10286-W81289	WA	King
10298-W81188	WA	King
10305-W87583	WA	King
10306-W81308	WA	King
1031-M62823	MN	Olmsted
10317-W93105	WA	Pierce
10339-X53611	WA	King
10365-W94273	WA	Pierce
1037-M61305	WA	King
10380-F29401	WA	Yakima
10381-F29437	WA	Yakima
10383-H28416	WA	Pierce
1039-M62096	CT	Fairfield
10392-F37095	WA	King
10394-F37094	WA	King
10396-F35735	WA	King
10402-F28198	WA	King
10403-F28261	WA	King
10404-F28221	WA	King
10408-F28276	WA	King
1041-M61875	CT	Fairfield
10411-F37363	NA	NA
10420-S87690	WA	Pierce
10424-S89454	OR	Deschutes
10435-S89137	WA	King
10438-S88173	WA	King
10439-F40369	WA	Pierce
10442-F40270	WA	Pierce
10444-F31144	WA	King
10447-F40492	WA	Pierce
10449-X53648	WA	King
10453-S93102	WA	Pierce
10455-S93147	WA	Pierce
10459-X54080	WA	Spokane
1046-M63014	WA	King
10464-S93132	WA	Pierce
10465-X55555	WA	Pierce
10471-X55580	WA	Pierce
10472-X55587	WA	Pierce
10473-X55519	WA	Pierce
10479-M19418	WA	King
1048-M61908	WA	King
10485-M22314	WA	King
10496-M22729	WA	Chelan
1050-M62712	WA	King
10501-M19137	WA	Spokane
10508-T33579	WA	Pierce
1051-M61033	WA	King
10510-F21958	WA	King
10511-F21952	WA	King
10512-F21951	WA	King
10521-F21954	WA	King
10523-F25788	WA	King
1053-M62959	WA	King
10530-F21966	WA	King
10531-T33301	WA	Yakima
10533-T42938	WA	King
1055-M59498	WA	King
10552-H31970	WA	Pierce
10582-H41694	WA	King
10588-H45376	WA	Pierce
10599-S13062	WA	King
10612-F55992	WA	Jefferson
10613-F50434	WA	Grant
10621-T46508	WA	King
1064-M63188	MN	Olmsted
10648-T45709	WA	Snohomish
10652-T34905	WA	Okanogan
10653-T45718	WA	Snohomish
10654-T44590	WA	Pierce
10655-T44574	WA	Pierce
10658-T42988	WA	King
1066-M63519	WA	King
10663-T45923	WA	Snohomish
10669-T45728	WA	Thurston
10681-T46782	WA	Spokane
10685-T45852	WA	Snohomish
10687-W11689	WA	King
10688-T46444	WA	Pierce
1069-M64201	WA	King
10691-T43009	WA	King
10696-W15403	WA	King
10697-T41332	WA	King
10698-W15213	WA	King
1070-M64194	WA	King
10700-T42235	WA	King
10766-H35888	WA	King
10769-H45360	WA	Pierce
1077-M57631	WA	Pierce
1079-M62454	WA	King
10795-F51169	WA	Chelan
10818-F49103	WA	King
1082-M65636	WA	Snohomish
10826-F56961	WA	Pierce
10831-F56956	WA	Pierce
10834-F56939	WA	Pierce
10853-S18921	NA	NA
1086-T65413	WA	Snohomish
10868-S19506	NA	NA
1088-X70366	WA	Pierce
10902-S18748	NA	NA
1091-M61596	MN	Olmsted
1092-H63069	MN	Olmsted
10932-M40670	WA	Pierce
1094-M61507	CT	Fairfield
10948-S19344	WA	Pierce
10952-S19365	WA	Pierce
10953-S19208	WA	Pierce
10960-X60825	WA	Spokane
10983-M37513	WA	King
1099-M62174	CT	Fairfield
11002-M37459	WA	King
1101-M62084	MN	Olmsted
1102-M61761	CT	Fairfield
1103-M61749	CT	Fairfield
11036-T62608	WA	King
11038-T64073	WA	Pierce
1104-M61773	CT	Fairfield
11040-T63993	WA	Pierce
11043-T63995	WA	Pierce
1105-M61838	CT	Fairfield
11059-W35923	WA	Chelan
11072-W40935	WA	Pierce
11074-T63752	WA	Spokane
11076-W36752	WA	Spokane
11078-W26566	WA	King
1108-M60117	Unknown	Unknown
11089-H49519	WA	King
1109-M58280	WA	King
11090-W42326	WA	Pierce
11098-W42259	WA	Pierce
1111-M62995	WA	King
11115-H60949	WA	King
1113-M61313	MN	Olmsted
11142-S23257	WA	King
11144-S25764	OR	Deschutes
1116-M65437	IL	Cook
11165-F67917	WA	Chelan
11168-F67961	WA	Chelan
1117-M65402	IL	Cook
11187-H62882	WA	Pierce
11193-W42088	WA	Spokane
11196-F63166	WA	King
11208-M39463	Unknown	Unknown
11259-F71826	WA	Snohomish
11263-F71901	WA	King
1127-T66142	WA	King
11270-S27150	WA	King
11277-S30575	WA	Spokane
11278-S30407	WA	Spokane
11279-X64528	WA	King
1128-T68224	WA	King
11280-F73873	WA	Pierce
11285-F73856	WA	Pierce
11287-F74013	WA	Spokane
11289-S24270	WA	King
11290-S23633	WA	King
11293-X65585	WA	King
11297-X67600	WA	King
11300-S30889	WA	Spokane
11309-M47600	WA	King
1131-S11724	WA	Pierce
11324-M54862	WA	King
11325-M55219	WA	King
11328-M53892	WA	King
1133-M64405	WA	King
11338-M53841	WA	King
1134-M62610	MN	Olmsted
11341-M49454	WA	Chelan
11345-X68056	WA	Pierce
11347-M49429	WA	King
11349-X68050	WA	Pierce
1135-M62624	MN	Olmsted
11350-M55179	WA	King
1136-M62022	CT	Fairfield
1137-M64463	IL	Cook
1139-M58292	IL	Cook
11391-W45100	WA	Pierce
11394-T72611	WA	King
11399-M49703	WA	King
11401-T70879	WA	King
1141-M64858	IL	Cook
11425-M55266	WA	King
11436-T79797	WA	Pierce
11437-T79799	WA	Pierce
11438-M54564	WA	King
11442-T77823	WA	King
11443-T77638	WA	King
11447-T78100	WA	King
11449-T73570	WA	Spokane
11453-T72200	WA	Spokane
11454-T75526	WA	Spokane
11455-M58715	WA	Spokane
11457-M37754	WA	King
11459-M40726	WA	Pierce
1146-T64252	WA	King
11469-T81316	WA	Pierce
11472-T81303	WA	Pierce
11478-T81286	WA	Pierce
11480-T81522	WA	Pierce
11481-T81290	WA	Pierce
11484-W50287	WA	King
11487-W47587	WA	King
11488-W55619	WA	King
11489-W55214	WA	King
11499-W55520	WA	King
11512-W54494	WA	King
11513-W55304	WA	King
11518-F74057	WA	Pierce
11519-S31312	WA	Pierce
11521-S31310	WA	Pierce
11526-X68074	WA	Pierce
11529-X68105	WA	Pierce
11530-X68126	WA	Pierce
11533-X68169	WA	Pierce
11537-X68112	WA	Pierce
11538-X68113	WA	Pierce
11544-M56692	WA	Snohomish
11556-M53358	WA	Chelan
11561-M56991	WA	Pierce
11562-M57025	WA	Pierce
11564-M53541	WA	Chelan
11566-M53537	WA	Chelan
1157-T69071	WA	King
11571-M57353	WA	King
11572-X68214	WA	Spokane
11576-M58557	WA	Pierce
1158-T68663	WA	King
11580-M58354	WA	Pierce
11589-T78731	WA	King
1159-T68874	WA	King
11592-T73819	WA	King
11602-W42285	WA	Pierce
11608-W26870	WA	King
11611-H53888	WA	King
11616-W42802	WA	Snohomish
1162-M63325	WA	King
11625-H59391	WA	King
1163-M63241	WA	King
11630-H59866	WA	Chelan
11633-W42891	WA	Spokane
11635-F60088	WA	King
11636-H56590	WA	Chelan
11640-H62983	WA	Pierce
11645-F65589	WA	King
11648-H62841	WA	Pierce
11652-F65108	WA	King
11656-H62721	WA	Spokane
11661-S26412	WA	King
11664-S24284	WA	King
11668-F74039	WA	Pierce
11671-X67289	WA	King
11673-S31192	WA	Pierce
1169-T68406	WA	King
11701-T60372	WA	King
11703-T55008	WA	King
11707-M41744	WA	Thurston
11709-M40706	WA	Pierce
1171-T66891	WA	Pierce
11710-M40715	WA	Pierce
1172-M65603	Unknown	Unknown
11722-T59270	WA	King
11728-T63933	WA	Pierce
1174-M64563	WA	Skagit
11742-W34372	OR	Deschutes
11761-W55527	WA	King
11762-W53812	WA	Spokane
11763-W51619	WA	Spokane
11764-W53388	WA	Chelan
11765-W53611	WA	Chelan
1177-X70540	WA	King
11775-W53544	WA	Chelan
1178-M63659	WA	King
11780-W57627	WA	Pierce
1179-M63552	WA	King
11813-W54203	WA	King
1182-M65265	IL	Cook
11823-H76316	WA	King
11829-H75223	WA	King
11832-H75801	WA	Chelan
11836-W59010	WA	Spokane
1186-M60951	WA	King
11869-F88308	WA	Chelan
1189-M64316	WA	Skagit
1190-M64415	WA	Skagit
11903-H79635	WA	Pierce
11906-W59497	WA	Spokane
11909-W59620	WA	Spokane
11915-W59505	WA	Spokane
11918-W59543	WA	Spokane
11919-W58842	WA	Spokane
11929-S28119	Unknown	Unknown
1194-M65730	WA	Pierce
11989-T81490	WA	Pierce
12027-W54547	WA	King
1203-T66314	WA	Skagit
12067-S41375	WA	Pierce
12068-S41572	WA	Pierce
12069-S41480	WA	Pierce
12070-S41573	WA	Pierce
12078-M58500	WA	Pierce
12085-M51713	WA	Kitsap
12088-M48626	OR	Deschutes
1209-M64894	IL	Cook
12097-F73976	WA	Spokane
12098-H79688	WA	Pierce
12112-W60248	WA	Pierce
12117-W60313	WA	Pierce
1212-M61970	WA	Pierce
12127-H79708	WA	Pierce
12134-F87066	WA	King
12140-F87114	WA	King
12141-F86261	WA	King
